aqi,area,pm2_5,pm2_5_24h,position_name,primary_pollutant,quality,station_code,time_point
56,上海,23,22,,臭氧8小时,良,,2017-05-20T13:00:00Z
55,上海,33,28,青浦淀山湖,臭氧1小时,良,1146A,2017-05-20T13:00:00Z
53,上海,26,25,杨浦四漂,颗粒物(PM10),良,1145A,2017-05-20T13:00:00Z
50,上海,26,24,十五厂,,优,1142A,2017-05-20T13:00:00Z
48,上海,29,21,普陀,,优,1141A,2017-05-20T13:00:00Z
